time;face_valid;bpm
5066;1;60
5133;1;59.2066
5200;1;60
5266;1;59.2183
5333;1;60
5400;1;59.2066
5466;1;60
5533;1;59.2066
5600;1;60
5666;1;59.2183
5733;1;84
5800;1;59.2066
5866;1;84
5933;1;59.2066
6000;1;84
6066;1;59.2183
6133;1;48
6200;1;47.3653
6266;1;48
6333;1;47.3653
6400;1;48
6466;1;47.3747
6533;1;48
6600;1;47.3653
6666;1;48
6733;1;47.3653
6800;1;48
6866;1;47.3747
6933;1;48
7000;1;47.3653
7066;1;48
7133;1;47.3653
7200;1;48
7266;1;47.3747
7333;1;48
7400;1;47.3653
7466;1;48
7533;1;47.3653
7600;1;48
7666;1;47.3747
7733;1;48
7800;1;47.3653
7866;1;48
7933;1;47.3653
8000;1;84
8066;1;82.9056
8133;1;84
8200;1;82.8893
8266;1;36
8333;1;35.524
8400;1;36
8466;1;82.9056
8533;1;84
8600;1;82.8893
8666;1;36
8733;1;35.524
8800;1;36
8866;1;82.9056
8933;1;48
9000;1;47.3653
9066;1;48
9133;1;47.3653
9200;1;48
9266;1;47.3747
9333;1;48
9400;1;82.8893
9466;1;48
9533;1;82.8893
9600;1;48
9666;1;47.3747
9733;1;48
9800;1;47.3653
9866;1;84
9933;1;82.8893
10000;1;84
10066;1;82.9056
10133;1;84
10200;1;82.8893
10266;1;84
10333;1;82.8893
10400;1;84
10466;1;82.9056
10533;1;48
10600;1;47.3653
10666;1;36
10733;1;82.8893
10800;1;84
10866;1;82.9056
10933;1;84
11000;1;82.8893
11066;1;84
11133;1;82.8893
11200;1;84
11266;1;82.9056
11333;1;84
11400;1;82.8893
11466;1;84
11533;1;82.8893
11600;1;48
11666;1;47.3747
11733;1;48
11800;1;47.3653
11866;1;48
11933;1;47.3653
12000;1;48
12066;1;47.3747
12133;1;48
12200;1;47.3653
12266;1;48
12333;1;47.3653
12400;1;48
12466;1;47.3747
12533;1;48
12600;1;47.3653
12666;1;48
12733;1;47.3653
12800;1;48
12866;1;47.3747
12933;1;48
13000;1;47.3653
13066;1;48
13133;1;47.3653
13200;1;48
13266;1;47.3747
13333;1;48
13400;1;47.3653
13466;1;48
13533;1;47.3653
13600;1;48
13666;1;47.3747
13733;1;48
13800;1;47.3653
13866;1;48
13933;1;47.3653
14000;1;48
14066;1;47.3747
14133;1;48
14200;1;59.2066
14266;1;60
14333;1;59.2066
14400;1;60
14466;1;59.2183
14533;1;60
14600;1;59.2066
14666;1;60
14733;1;59.2066
14800;1;60
14866;1;59.2183
14933;1;60
15000;1;59.2066
15066;1;48
15133;1;59.2066
15200;1;48
15266;1;47.3747
15333;1;48
15400;1;59.2066
15466;1;60
15533;1;59.2066
15600;1;60
15666;1;59.2183
15733;1;60
15800;1;59.2066
15866;1;60
15933;1;94.7306
16000;1;60
16066;1;47.3747
16133;1;60
16200;1;47.3653
16266;1;60
16333;1;94.7306
16400;1;96
16466;1;94.7493
16533;1;60
16600;1;71.048
16666;1;60
16733;1;71.048
16800;1;72
16866;1;71.062
